judge,problem,name,difficulty,theme,topics,date
"codeforces","1041-D","glinder","hard","greedy"," > two pointers","09/Jan/2020"
"codeforces","110-A","nearly lucky number","easy","ad-hoc"," > implementation","03/Dec/2019"
"codeforces","1254-A","feeding chicken","medium","ad-hoc"," > implementation","25/Nov/2019"
"codeforces","1255-A","changing volume","easy","greedy"," > coins change","25/Nov/2019"
"codeforces","1284-A","new year and naming","easy","ad-hoc"," > implementation","04/Jan/2020"
"codeforces","1284-B","new year and ascent sequence","medium","searching"," > binary search","05/Jan/2020"
"codeforces","1285-A","mezo playing zoma","easy","ad-hoc","","10/Jan/2020"
"codeforces","1285-B","just eat it!","easy","dynamic programming"," > kadane","10/Jan/2020"
"codeforces","151-A","soft drinking","easy","ad-hoc","","03/Dec/2019"
"codeforces","266-A","stones on the table","easy","ad-hoc"," > implementation","03/Dec/2019"
"codeforces","275-C","k-multiple free set","easy","greedy","","05/Jan/2020"
"codeforces","279-B","books","medium","greedy"," > two pointers","29/Dec/2019"
"codeforces","339-D","xenia and bit operations","medium","searching"," > segment tree (ST)","07/Dec/2019"
"codeforces","373-A","collecting beats is fun","easy","ad-hoc"," > implementation","27/Dec/2019"
"codeforces","381-A","sereja and dima","easy","greedy"," > two pointers","09/Jan/2020"
"codeforces","460-C","present","hard","searching"," > binary search > on answer","06/Jan/2020"
"codeforces","492-B","vanya and lanterns","easy","ad-hoc"," > implementation","29/Dec/2019"
"codeforces","519-C","a and b and team training","medium","ad-hoc"," > implementation","24/Dec/2019"
"codeforces","576-A","vasya and petya's game","medium","math"," > number theory > prime numbers > sieve of eratosthenes","26/Dec/2019"
"codeforces","6-C","alice, bob and chocolate","easy","greedy"," > two pointers","09/Jan/2020"
"codeforces","659-D","bicycle race","easy","computational geometry","","23/Dec/2019"
"codeforces","676-C","vasya and strings","medium","greedy"," > two pointers","07/Jan/2020"
"codeforces","811-B","vladik and complicated book","easy","ad-hoc"," > implementation","26/Dec/2019"
"codeforces","822-A","i'm bored with life","easy","math"," > greatest common divisor (GCD)","07/Jan/2020"
"codeforces","844-B","rectangles","easy","math"," > combinatorics > combinations > binomial coefficient","27/Dec/2019"
"codeforces","854-A","fraction","easy","math"," > number theory > greatest common divisor (GCD)","26/Dec/2019"
"spoj","MAXSUMSU","maximum subset sum","easy","dynamic programming"," > kadane","10/Jan/2020"
"uri","1123","route change","medium","graphs"," > shortest paths > single-source > dijkstra","22/May/2019"
"uri","1368","colorful cubes","hard","ad-hoc","","22/Jun/2019"
"uri","2242","huaauhahhuahau","easy","ad-hoc","","16/Mar/2019"
"uri","2372","meeting","easy","graphs"," > shortest paths > all-pairs > floyd-warshall","25/Oct/2019"
"uri","2879","unraveling monty hall","easy","ad-hoc","","23/Feb/2019"
"uri","2884","interrupter","easy","ad-hoc","","28/Feb/2019"
"uri","2963","buffoon","easy","ad-hoc","","14/Sep/2019"
"uri","2965","denouncing mafia","medium","graphs"," > depth first search (DFS)","28/Oct/2019"
"uri","2968","hour for a run","easy","ad-hoc","","14/Sep/2019"
"uri","2971","jar of water game","medium","ad-hoc","","19/Sep/2019"
"uri","2972","less coin tosses","hard","math"," > combinatorics > combinations > binomial coefficient","02/Jan/2020"
"uri","2973","maratona brasileira de popcorn","medium","searching"," > binary search > on answer","03/Jan/2020"
"uri","3024","mountain ranges","easy","ad-hoc","","09/Nov/2019"
"uva","10034","freckles","easy","graphs"," > minimum spanning tree (MST) > kruskal","10/Nov/2019"
"uva","12097","pie","medium","searching"," > binary search > on answer","29/Dec/2019"
"uva","12455","bars","easy","brute force"," > iterative > subsets","11/Jan/2020"
"uva","725","division","easy","brute force"," > iterative","11/Jan/2020"
"uva","750","8 queens chess problem","easy","brute force"," > iterative > all permutations","12/Jan/2020"
